id,product,amount,credit rating,cancellation,age
66758318,K2,89400,9,정상,26
66758562,K1,96900,1,정상,55
66137525,K1,96900,,정상,
66147128,K1,96900,3,정상,46
66754005,K1,96900,8,정상,
66756376,K1,81900,4,정상,26
66756376,K2,81900,4,정상,53
66756579,K1,96900,6,정상,40
25871000,K1,124200,,정상,
66758476,K1,111900,5,정상,31
66758962,K1,105900,4,정상,37
66758276,K1,111900,6,정상,25
66423121,K1,66900,4,해약,72
66758845,K2,90900,4,정상,
66423528,K1,96900,1,정상,43
66268988,K1,96900,3,정상,47
66758486,K2,102900,8,정상,27
66755454,K1,96900,4,정상,58
66561687,K1,111900,3,정상,58
66758991,K1,105900,1,정상,46
66758936,K1,142200,2,정상,61
66758881,K1,145200,5,정상,54
66757980,K1,96900,1,정상,59
66758335,K2,102900,5,정상,
66758421,K1,96900,3,정상,32
66758236,K1,96900,4,정상,53
66758292,K1,98400,1,정상,61
66758292,K2,89400,1,정상,64
66423473,K1,66900,6,정상,
66423504,K1,81900,1,정상,45
66319286,K3,90900,5,정상,56
66757891,K1,115200,1,정상,30
66758830,K1,105900,1,정상,43
66758783,K1,105900,3,정상,66
66758848,K1,124200,6,정상,57
66758517,K1,96900,3,정상,52
66757455,K1,96900,8,정상,50
66758432,K1,105900,3,정상,38
25815899,K3,90900,,정상,
25742828,K1,142200,,정상,
66758655,K1,81900,1,정상,39
66758655,K2,81900,1,정상,38
66190070,K1,96900,8,정상,46
66758481,K4,126900,3,정상,36
66756761,K1,105900,4,정상,62
66731514,K1,145200,6,정상,65
66252297,K1,96900,,정상,
66265147,K2,90900,4,정상,41
25742813,K1,124200,,정상,
66501943,K2,102900,8,정상,23
66758983,K1,89400,2,정상,36
66758983,K2,89400,2,정상,27
66758889,K1,96900,2,정상,67
66758563,K1,81900,,정상,
66758563,K2,81900,,정상,
66758447,K1,96900,2,정상,67
66423105,K1,66900,3,정상,34
25742705,K1,96900,,정상,
66758412,K1,111900,1,정상,68
66423769,K1,66900,3,정상,66
66757338,K1,96900,1,정상,40
25742676,K1,96900,,정상,
66758489,K2,90900,4,정상,73
66758142,K1,111900,6,정상,50
66758506,K1,111900,3,정상,30
66758496,K1,96900,3,정상,55
66758442,K1,111900,3,정상,35
66423777,K1,66900,5,정상,50
66758454,K1,111900,5,정상,22
66758130,K1,105900,5,정상,58
66758761,K1,96900,3,정상,37
66758285,K1,105900,3,정상,61
66420386,K1,66900,6,정상,36
66423167,K1,66900,,정상,
66155536,K1,96900,6,정상,28
66756049,K1,105900,4,정상,26
66758933,K1,96900,6,정상,32
66334397,K3,90900,2,정상,46
66239546,K3,90900,2,정상,49
66296416,K1,84900,3,정상,56
66758943,K1,96900,5,정상,56
66423282,K1,66900,3,정상,48
66420154,K1,124200,5,정상,39
66423534,K1,66900,3,정상,50
66758688,K1,96900,1,정상,39
66697051,K2,90900,9,정상,40
66758508,K1,105900,1,정상,47
66756489,K1,98400,4,정상,43
66756489,K2,89400,4,정상,46
66129545,K1,102900,3,정상,39
66758656,K1,105900,1,정상,60
66758879,K1,96900,1,정상,48
66758405,K2,105900,2,정상,26
66758197,K1,98400,1,정상,43
66758197,K2,89400,1,정상,33
66665904,K2,90900,5,정상,34
66758549,K1,105900,5,정상,44
66756425,K1,96900,1,정상,39
66758614,K1,105900,1,정상,47
66187979,K2,90900,9,정상,50
66678688,K3,90900,3,정상,42
66758743,K4,126900,1,정상,48
66758407,K1,87900,4,정상,47
66758697,K1,96900,5,정상,33
66758866,K1,87900,4,정상,59
66758552,K2,90900,1,정상,53
25875800,K1,96900,,정상,
66421593,K1,126900,,정상,
66758746,K1,105900,1,정상,37
66758685,K1,96900,5,정상,45
66758874,K1,96900,2,정상,54
66362728,K1,96900,,정상,
66758808,K1,96900,1,정상,32
66758408,K1,96900,3,정상,70
66758488,K1,105900,2,정상,57
66758935,K1,96900,1,정상,58
66758794,K1,105900,1,정상,60
66423480,K1,66900,7,정상,38
66758744,K1,81900,4,정상,
66758744,K2,81900,4,정상,61
25742695,K2,96900,,정상,
25742695,K2,96900,,정상,
66758762,K1,96900,5,정상,48
66758520,K1,81900,5,정상,72
66758520,K2,81900,5,정상,21
66758097,K1,96900,4,정상,80
66758097,K1,142200,4,정상,59
66758764,K1,98400,4,정상,59
66758764,K2,89400,4,정상,46
25743105,K1,96900,,정상,
66759533,K1,96900,1,정상,57
66647651,K1,96900,7,정상,45
66420970,K1,102900,8,정상,41
25742846,K1,142200,,정상,
66759268,K1,96900,2,정상,55
66758829,K1,81900,2,정상,56
66758829,K2,81900,2,정상,52
66758351,K1,87900,3,정상,23
25732653,K1,111900,,정상,
66691051,K1,90900,1,정상,49
66691051,K2,81900,1,정상,25
66758894,K1,105900,4,정상,42
66758415,K1,96900,2,정상,65
66363385,K1,66900,3,정상,49
66757015,K1,105900,5,정상,50
66703507,K1,96900,4,정상,65
66953885,K1,81900,,해약,
66953885,K2,81900,,해약,
66756066,K1,96900,5,정상,27
66759634,K5,120900,2,정상,37
66759426,K2,96900,4,정상,50
66757626,K1,81900,2,정상,30
66757626,K2,81900,2,정상,75
66759439,K1,105900,4,정상,38
66758213,K1,96900,2,정상,52
66757429,K1,102900,1,정상,28
66243051,K1,102900,1,정상,29
66320748,K1,96900,1,정상,30
66756844,K1,87900,1,정상,51
66318205,K1,102900,6,정상,
66756988,K1,105900,3,정상,42
66757999,K2,87900,2,정상,62
66754850,K1,105900,3,정상,42
66759545,K1,96900,5,정상,56
66758835,K1,96900,4,정상,48
66759224,K1,105900,7,정상,38
25742803,K1,96900,,정상,
66759289,K1,96900,4,정상,38
66759271,K1,96900,1,정상,75
66758459,K1,96900,6,정상,
66166100,K2,90900,4,정상,34
66758490,K1,96900,8,정상,
66759519,K1,96900,8,정상,58
66878789,K1,96900,7,해약,58
66759213,K1,96900,5,정상,45
66734246,K1,96900,6,정상,61
66146074,K1,96900,2,정상,41
25855704,K1,66900,,정상,
66758939,K1,105900,5,정상,55
66759077,K6,185700,8,정상,42
66758885,K1,96900,1,정상,31
66758880,K1,105900,2,정상,40
66594208,K1,96900,3,정상,61
66758544,K1,111900,4,정상,48
66759240,K1,87900,2,정상,60
66759173,K1,89400,,정상,
66759173,K2,89400,,정상,
66758619,K1,81900,5,정상,55
66758619,K2,81900,5,정상,41
66758525,K1,105900,5,정상,44
66759056,K2,87900,2,정상,68
